ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean
0_0.0001_1,0,0.0001,1,57.15,63.92,82.24,73.19,72.05,69.71
0_0.0001_3,0,0.0001,3,89.14,87.91,96.34,87.98,76.57,87.588
0_0.0001_5,0,0.0001,5,88.31,87.23,96.09,91.1,72.94,87.134
0_0.0001_7,0,0.0001,7,87.55,85.5,95.85,90.5,70.24,85.928
0_0.0001_9,0,0.0001,9,86.85,84.26,95.6,89.92,67.89,84.904
0_0.0001_11,0,0.0001,11,86.24,83.11,95.35,89.3,65.78,83.956
0_0.0001_13,0,0.0001,13,85.48,81.89,95.09,88.67,64.07,83.04
0_0.0001_15,0,0.0001,15,85.03,80.8,94.82,88.02,62.51,82.236
0_0.0005_1,0,0.0005,1,91.77,92.34,96.55,92.8,82.03,91.098
0_0.0005_3,0,0.0005,3,89.7,89.33,96.34,91.74,75.92,88.606
0_0.0005_5,0,0.0005,5,88.31,87.23,96.09,91.03,72,86.932
0_0.0005_7,0,0.0005,7,87.55,85.5,95.85,90.37,69.08,85.67
0_0.0005_9,0,0.0005,9,86.85,84.26,95.6,89.71,66.61,84.606
0_0.0005_11,0,0.0005,11,86.24,83.11,95.35,89.09,64.46,83.65
0_0.0005_13,0,0.0005,13,85.48,81.89,95.09,88.47,62.72,82.73
0_0.0005_15,0,0.0005,15,85.03,80.8,94.82,87.81,61.05,81.902
0_0.001_1,0,0.001,1,91.77,92.32,96.55,92.8,82.03,91.094
0_0.001_3,0,0.001,3,89.7,89.33,96.34,91.74,75.92,88.606
0_0.001_5,0,0.001,5,88.31,87.23,96.09,91.03,72,86.932
0_0.001_7,0,0.001,7,87.55,85.46,95.85,90.37,69.08,85.662
0_0.001_9,0,0.001,9,86.85,84.22,95.6,89.71,66.61,84.598
0_0.001_11,0,0.001,11,86.24,83.07,95.35,89.09,64.46,83.642
0_0.001_13,0,0.001,13,85.48,81.85,95.09,88.47,62.72,82.722
0_0.001_15,0,0.001,15,85.03,80.76,94.82,87.81,61.05,81.894
0_0.005_1,0,0.005,1,91.77,92.24,96.55,92.8,81.91,91.054
0_0.005_3,0,0.005,3,89.7,89.35,96.34,91.74,75.91,88.608
0_0.005_5,0,0.005,5,88.31,87.23,96.09,91.03,72.14,86.96
0_0.005_7,0,0.005,7,87.55,85.42,95.85,90.37,69.58,85.754
0_0.005_9,0,0.005,9,86.85,84.18,95.6,89.71,67.37,84.742
0_0.005_11,0,0.005,11,86.24,83.06,95.35,89.09,65.27,83.802
0_0.005_13,0,0.005,13,85.48,81.85,95.09,88.47,63.63,82.904
0_0.005_15,0,0.005,15,85.03,80.56,94.82,87.81,62.26,82.096
0_0.01_1,0,0.01,1,91.73,92.14,96.55,92.8,81.87,91.018
0_0.01_3,0,0.01,3,89.36,89.37,96.34,91.74,75.78,88.518
0_0.01_5,0,0.01,5,87.89,87.24,96.09,91.03,72.02,86.854
0_0.01_7,0,0.01,7,87.17,85.35,95.85,90.37,69.46,85.64
0_0.01_9,0,0.01,9,86.51,84.12,95.6,89.71,67.25,84.638
0_0.01_11,0,0.01,11,85.94,82.92,95.35,89.09,65.14,83.688
0_0.01_13,0,0.01,13,85.31,81.85,95.09,88.47,63.51,82.846
0_0.01_15,0,0.01,15,84.86,80.56,94.82,87.81,62.13,82.036
0_0.05_1,0,0.05,1,91.49,91.88,96.47,92.73,81.33,90.78
0_0.05_3,0,0.05,3,88.76,88.66,96.19,90.5,74.65,87.752
0_0.05_5,0,0.05,5,87.29,86.41,95.71,88.91,70.38,85.74
0_0.05_7,0,0.05,7,86.55,84.57,95.44,87.83,67.13,84.304
0_0.05_9,0,0.05,9,85.87,83.19,95.18,86.85,64.81,83.18
0_0.05_11,0,0.05,11,85.22,81.91,94.91,85.77,62.6,82.082
0_0.05_13,0,0.05,13,84.67,81.04,94.65,84.94,60.63,81.186
0_0.05_15,0,0.05,15,84.15,80.17,94.38,83.91,58.68,80.258
0_0.1_1,0,0.1,1,90.74,91.65,96.21,92.36,80.47,90.286
0_0.1_3,0,0.1,3,87.55,87.4,95.35,90.24,71.16,86.34
0_0.1_5,0,0.1,5,85.54,84.2,94.35,89.07,66.02,83.836
0_0.1_7,0,0.1,7,84.52,81.47,93.71,88.1,62.33,82.026
0_0.1_9,0,0.1,9,83.56,79.66,93.09,86.96,59.34,80.522
0_0.1_11,0,0.1,11,82.81,78.17,92.33,85.99,57.07,79.274
0_0.1_13,0,0.1,13,82.09,77,91.8,85.2,55.31,78.28
0_0.1_15,0,0.1,15,81.45,76.11,91.27,84.41,53.55,77.358
0_0.5_1,0,0.5,1,79.63,81.75,89.87,82.76,65.35,79.872
0_0.5_3,0,0.5,3,71.12,65.29,83.39,75.16,47.22,68.436
0_0.5_5,0,0.5,5,67.19,58.19,78.36,70.71,37.53,62.396
0_0.5_7,0,0.5,7,63.68,52.34,75.02,66.87,31.92,57.966
0_0.5_9,0,0.5,9,60.28,48.13,71.71,64.14,27.73,54.398
0_0.5_11,0,0.5,11,57.55,45.55,69.06,61.36,24.34,51.572
0_0.5_13,0,0.5,13,55.78,43,66.92,58.6,22.48,49.356
0_0.5_15,0,0.5,15,54.31,41.23,65.05,56.93,20.98,47.7
0_1_1,0,1,1,0,0,0,0,0,0
0_1_3,0,1,3,0,0,0,0,0,0
0_1_5,0,1,5,0,0,0,0,0,0
0_1_7,0,1,7,0,0,0,0,0,0
0_1_9,0,1,9,0,0,0,0,0,0
0_1_11,0,1,11,0,0,0,0,0,0
0_1_13,0,1,13,0,0,0,0,0,0
0_1_15,0,1,15,0,0,0,0,0,0
0_5_1,0,5,1,0,0,0,0,0,0
0_5_3,0,5,3,0,0,0,0,0,0
0_5_5,0,5,5,0,0,0,0,0,0
0_5_7,0,5,7,0,0,0,0,0,0
0_5_9,0,5,9,0,0,0,0,0,0
0_5_11,0,5,11,0,0,0,0,0,0
0_5_13,0,5,13,0,0,0,0,0,0
0_5_15,0,5,15,0,0,0,0,0,0
2_0.0001_1,2,0.0001,1,91.79,92.5,96.64,93.03,82.07,91.206
2_0.0001_3,2,0.0001,3,90.09,90.29,96.39,92.11,77.24,89.224
2_0.0001_5,2,0.0001,5,88.95,88.6,96.09,91.48,73.86,87.796
2_0.0001_7,2,0.0001,7,88.07,87.3,95.76,90.93,71.34,86.68
2_0.0001_9,2,0.0001,9,87.37,86.01,95.42,90.36,69.19,85.67
2_0.0001_11,2,0.0001,11,86.69,84.85,95.08,89.75,67.14,84.702
2_0.0001_13,2,0.0001,13,86.05,83.82,94.74,89.14,65.3,83.81
2_0.0001_15,2,0.0001,15,85.44,82.76,94.38,88.51,63.75,82.968
2_0.0005_1,2,0.0005,1,91.65,92.5,96.64,93.03,82.07,91.178
2_0.0005_3,2,0.0005,3,90,90.29,96.39,92.11,77.24,89.206
2_0.0005_5,2,0.0005,5,88.9,88.6,96.09,91.48,73.86,87.786
2_0.0005_7,2,0.0005,7,88.15,87.3,95.76,90.93,71.34,86.696
2_0.0005_9,2,0.0005,9,87.39,86.01,95.42,90.36,69.19,85.674
2_0.0005_11,2,0.0005,11,86.87,84.85,95.08,89.75,67.14,84.738
2_0.0005_13,2,0.0005,13,86.42,83.82,94.74,89.14,65.3,83.884
2_0.0005_15,2,0.0005,15,86.01,82.76,94.38,88.51,63.75,83.082
2_0.001_1,2,0.001,1,91.65,92.5,96.64,93.03,82.03,91.17
2_0.001_3,2,0.001,3,90,90.29,96.39,92.11,77.17,89.192
2_0.001_5,2,0.001,5,88.9,88.6,96.09,91.48,73.82,87.778
2_0.001_7,2,0.001,7,88.15,87.3,95.76,90.93,71.3,86.688
2_0.001_9,2,0.001,9,87.39,86.01,95.42,90.36,69.15,85.666
2_0.001_11,2,0.001,11,86.87,84.85,95.08,89.75,67.11,84.732
2_0.001_13,2,0.001,13,86.42,83.82,94.74,89.14,65.28,83.88
2_0.001_15,2,0.001,15,86.01,82.76,94.38,88.51,63.72,83.076
2_0.005_1,2,0.005,1,91.74,92.5,96.64,93.12,81.94,91.188
2_0.005_3,2,0.005,3,90.17,90.29,96.39,92.14,76.96,89.19
2_0.005_5,2,0.005,5,89.11,88.6,96.09,91.46,73.48,87.748
2_0.005_7,2,0.005,7,88.37,87.3,95.76,90.75,70.92,86.62
2_0.005_9,2,0.005,9,87.73,86.01,95.42,90.13,68.72,85.602
2_0.005_11,2,0.005,11,87.15,84.85,95.08,89.52,66.7,84.66
2_0.005_13,2,0.005,13,86.42,83.82,94.74,88.91,64.88,83.754
2_0.005_15,2,0.005,15,86.01,82.76,94.38,88.28,63.37,82.96
2_0.01_1,2,0.01,1,91.74,92.29,96.64,93.12,82.04,91.166
2_0.01_3,2,0.01,3,90.17,89.99,96.39,92.14,76.55,89.048
2_0.01_5,2,0.01,5,89.11,88.33,96.09,91.46,72.99,87.596
2_0.01_7,2,0.01,7,88.37,86.95,95.76,90.75,70.42,86.45
2_0.01_9,2,0.01,9,87.73,85.59,95.42,90.13,68.24,85.422
2_0.01_11,2,0.01,11,87.15,84.49,95.08,89.52,66.28,84.504
2_0.01_13,2,0.01,13,86.42,83.54,94.74,88.91,64.63,83.648
2_0.01_15,2,0.01,15,86.01,82.53,94.38,88.28,63.21,82.882
2_0.05_1,2,0.05,1,91.68,92.2,96.6,93.07,81.89,91.088
2_0.05_3,2,0.05,3,89.82,89.94,96.34,91.89,76.06,88.81
2_0.05_5,2,0.05,5,88.9,88.33,96.05,91.19,72.55,87.404
2_0.05_7,2,0.05,7,88.21,86.95,95.72,90.55,69.69,86.224
2_0.05_9,2,0.05,9,87.59,85.68,95.38,89.9,67.37,85.184
2_0.05_11,2,0.05,11,87.03,84.51,95.04,89.33,65.25,84.232
2_0.05_13,2,0.05,13,86.22,83.68,94.69,88.81,63.58,83.396
2_0.05_15,2,0.05,15,85.74,82.8,94.34,88.3,62.05,82.646
2_0.1_1,2,0.1,1,90.89,91.79,96.33,92.88,81.22,90.622
2_0.1_3,2,0.1,3,87.93,87.75,95.91,90.43,73.47,87.098
2_0.1_5,2,0.1,5,86.31,84.66,95.49,88.69,68.56,84.742
2_0.1_7,2,0.1,7,85.42,82.23,95.07,87.54,65.09,83.07
2_0.1_9,2,0.1,9,84.63,79.99,94.64,86.28,62.58,81.624
2_0.1_11,2,0.1,11,83.96,78.7,94.21,85.15,60.11,80.426
2_0.1_13,2,0.1,13,83.2,77.65,93.78,84.24,58.17,79.408
2_0.1_15,2,0.1,15,82.35,76.49,93.34,83.13,56.81,78.424
2_0.5_1,2,0.5,1,83.51,83.16,92.2,84.95,70.67,82.898
2_0.5_3,2,0.5,3,76.44,71.67,86.94,77.05,56.66,73.752
2_0.5_5,2,0.5,5,71.88,64.75,82.77,73.12,48.72,68.248
2_0.5_7,2,0.5,7,67.92,59.64,78.93,69.38,43.62,63.898
2_0.5_9,2,0.5,9,65.08,55.89,75.24,66.84,40.35,60.68
2_0.5_11,2,0.5,11,62.7,52.84,72.72,64.41,37.31,57.996
2_0.5_13,2,0.5,13,60.04,50.95,70.44,61.81,34.53,55.554
2_0.5_15,2,0.5,15,58.27,49.42,68.84,60.05,32.84,53.884
2_1_1,2,1,1,0,0,0,0,0,0
2_1_3,2,1,3,0,0,0,0,0,0
2_1_5,2,1,5,0,0,0,0,0,0
2_1_7,2,1,7,0,0,0,0,0,0
2_1_9,2,1,9,0,0,0,0,0,0
2_1_11,2,1,11,0,0,0,0,0,0
2_1_13,2,1,13,0,0,0,0,0,0
2_1_15,2,1,15,0,0,0,0,0,0
2_5_1,2,5,1,0,0,0,0,0,0
2_5_3,2,5,3,0,0,0,0,0,0
2_5_5,2,5,5,0,0,0,0,0,0
2_5_7,2,5,7,0,0,0,0,0,0
2_5_9,2,5,9,0,0,0,0,0,0
2_5_11,2,5,11,0,0,0,0,0,0
2_5_13,2,5,13,0,0,0,0,0,0
2_5_15,2,5,15,0,0,0,0,0,0
4_0.0001_1,4,0.0001,1,91.79,92.52,96.58,93.05,82.15,91.218
4_0.0001_3,4,0.0001,3,89.96,90.3,96.38,92.43,76.71,89.156
4_0.0001_5,4,0.0001,5,88.55,88.73,96.13,91.92,73.34,87.734
4_0.0001_7,4,0.0001,7,87.78,87.41,95.88,91.44,70.47,86.596
4_0.0001_9,4,0.0001,9,87.19,86.07,95.63,90.91,68.14,85.588
4_0.0001_11,4,0.0001,11,86.61,84.87,95.38,90.31,66.03,84.64
4_0.0001_13,4,0.0001,13,86.09,83.84,95.13,89.7,64.21,83.794
4_0.0001_15,4,0.0001,15,85.46,82.78,94.86,89.06,62.6,82.952
4_0.0005_1,4,0.0005,1,91.79,92.52,96.58,93.05,82.07,91.202
4_0.0005_3,4,0.0005,3,89.96,90.3,96.38,92.43,76.63,89.14
4_0.0005_5,4,0.0005,5,88.55,88.73,96.13,91.92,73.3,87.726
4_0.0005_7,4,0.0005,7,87.78,87.41,95.88,91.44,70.43,86.588
4_0.0005_9,4,0.0005,9,87.19,86.07,95.63,90.91,67.97,85.554
4_0.0005_11,4,0.0005,11,86.61,84.87,95.38,90.31,65.92,84.618
4_0.0005_13,4,0.0005,13,86.09,83.84,95.13,89.7,64.16,83.784
4_0.0005_15,4,0.0005,15,85.46,82.78,94.86,89.06,62.57,82.946
4_0.001_1,4,0.001,1,91.79,92.52,96.58,93.05,82.1,91.208
4_0.001_3,4,0.001,3,89.96,90.3,96.38,92.43,76.91,89.196
4_0.001_5,4,0.001,5,88.55,88.73,96.13,91.92,73.32,87.73
4_0.001_7,4,0.001,7,87.78,87.41,95.88,91.44,70.69,86.64
4_0.001_9,4,0.001,9,87.19,86.07,95.63,90.91,68.47,85.654
4_0.001_11,4,0.001,11,86.61,84.87,95.38,90.31,66.44,84.722
4_0.001_13,4,0.001,13,86.09,83.84,95.13,89.7,64.58,83.868
4_0.001_15,4,0.001,15,85.46,82.78,94.86,89.06,62.94,83.02
4_0.005_1,4,0.005,1,91.84,92.51,96.58,93.05,82.1,91.216
4_0.005_3,4,0.005,3,90.12,90.3,96.38,92.43,76.91,89.228
4_0.005_5,4,0.005,5,88.72,88.73,96.13,91.92,73.32,87.764
4_0.005_7,4,0.005,7,88.04,87.41,95.88,91.44,70.69,86.692
4_0.005_9,4,0.005,9,87.43,86.07,95.63,90.91,68.47,85.702
4_0.005_11,4,0.005,11,86.83,84.87,95.38,90.31,66.44,84.766
4_0.005_13,4,0.005,13,86.32,83.84,95.13,89.7,64.58,83.914
4_0.005_15,4,0.005,15,85.74,82.78,94.86,89.06,62.94,83.076
4_0.01_1,4,0.01,1,91.81,92.51,96.58,93.01,82.1,91.202
4_0.01_3,4,0.01,3,89.92,90.3,96.38,92.24,76.91,89.15
4_0.01_5,4,0.01,5,88.51,88.73,96.13,91.65,73.32,87.668
4_0.01_7,4,0.01,7,87.83,87.41,95.88,91.05,70.69,86.572
4_0.01_9,4,0.01,9,87.22,86.07,95.63,90.4,68.47,85.558
4_0.01_11,4,0.01,11,86.62,84.87,95.38,89.79,66.44,84.62
4_0.01_13,4,0.01,13,86.12,83.84,95.13,89.19,64.58,83.772
4_0.01_15,4,0.01,15,85.54,82.78,94.86,88.55,62.94,82.934
4_0.05_1,4,0.05,1,91.91,92.31,96.55,93.1,81.89,91.152
4_0.05_3,4,0.05,3,89.79,89.99,96.33,92.3,76.33,88.948
4_0.05_5,4,0.05,5,88.96,88.36,96.09,91.71,73.02,87.628
4_0.05_7,4,0.05,7,88.25,86.84,95.84,91,70.05,86.396
4_0.05_9,4,0.05,9,87.67,85.63,95.59,90.38,67.94,85.442
4_0.05_11,4,0.05,11,87.18,84.55,95.34,89.77,65.96,84.56
4_0.05_13,4,0.05,13,86.42,83.52,95.08,89.16,64.15,83.666
4_0.05_15,4,0.05,15,85.97,82.48,94.82,88.53,62.53,82.866
4_0.1_1,4,0.1,1,91.69,92.1,96.55,93,81.69,91.006
4_0.1_3,4,0.1,3,89.16,89.01,96.33,91.24,76.06,88.36
4_0.1_5,4,0.1,5,87.96,86.89,96.09,90.39,72.8,86.826
4_0.1_7,4,0.1,7,86.97,85.4,95.84,89.67,70.02,85.58
4_0.1_9,4,0.1,9,86.14,83.93,95.59,88.94,67.97,84.514
4_0.1_11,4,0.1,11,85.53,82.84,95.34,88.12,66.02,83.57
4_0.1_13,4,0.1,13,84.86,81.69,95.08,87.51,64.48,82.724
4_0.1_15,4,0.1,15,84.31,80.81,94.82,86.87,63.12,81.986
4_0.5_1,4,0.5,1,85.54,85.89,93.82,86.78,73.55,85.116
4_0.5_3,4,0.5,3,78.91,76.62,89.67,78.96,59.77,76.786
4_0.5_5,4,0.5,5,74.77,72.76,86.58,74.48,53.7,72.458
4_0.5_7,4,0.5,7,72.06,70.06,83.74,70.73,49.36,69.19
4_0.5_9,4,0.5,9,69.3,67.95,80.89,67.41,46.55,66.42
4_0.5_11,4,0.5,11,66.71,66.35,78.6,64.95,43.89,64.1
4_0.5_13,4,0.5,13,64.6,65.07,76.44,62.6,41.54,62.05
4_0.5_15,4,0.5,15,62.9,63.9,74.91,60.59,40.02,60.464
4_1_1,4,1,1,0,0,0,0,0,0
4_1_3,4,1,3,0,0,0,0,0,0
4_1_5,4,1,5,0,0,0,0,0,0
4_1_7,4,1,7,0,0,0,0,0,0
4_1_9,4,1,9,0,0,0,0,0,0
4_1_11,4,1,11,0,0,0,0,0,0
4_1_13,4,1,13,0,0,0,0,0,0
4_1_15,4,1,15,0,0,0,0,0,0
4_5_1,4,5,1,0,0,0,0,0,0
4_5_3,4,5,3,0,0,0,0,0,0
4_5_5,4,5,5,0,0,0,0,0,0
4_5_7,4,5,7,0,0,0,0,0,0
4_5_9,4,5,9,0,0,0,0,0,0
4_5_11,4,5,11,0,0,0,0,0,0
4_5_13,4,5,13,0,0,0,0,0,0
4_5_15,4,5,15,0,0,0,0,0,0
6_0.0001_1,6,0.0001,1,91.78,92.49,96.58,92.95,82.28,91.216
6_0.0001_3,6,0.0001,3,90.04,89.83,96.38,92.52,77.45,89.244
6_0.0001_5,6,0.0001,5,89.06,87.9,96.13,92.16,74.38,87.926
6_0.0001_7,6,0.0001,7,88.35,86.54,95.88,91.79,71.74,86.86
6_0.0001_9,6,0.0001,9,87.79,85.13,95.63,91.36,69.51,85.884
6_0.0001_11,6,0.0001,11,87.31,83.81,95.38,90.9,67.31,84.942
6_0.0001_13,6,0.0001,13,86.66,82.48,95.13,90.47,65.62,84.072
6_0.0001_15,6,0.0001,15,86.06,81.34,94.86,90,64.16,83.284
6_0.0005_1,6,0.0005,1,91.78,92.49,96.58,92.95,82.28,91.216
6_0.0005_3,6,0.0005,3,90.04,89.83,96.38,92.52,77.45,89.244
6_0.0005_5,6,0.0005,5,89.06,87.9,96.13,92.16,74.38,87.926
6_0.0005_7,6,0.0005,7,88.35,86.54,95.88,91.79,71.74,86.86
6_0.0005_9,6,0.0005,9,87.79,85.13,95.63,91.36,69.51,85.884
6_0.0005_11,6,0.0005,11,87.31,83.81,95.38,90.9,67.31,84.942
6_0.0005_13,6,0.0005,13,86.66,82.48,95.13,90.47,65.62,84.072
6_0.0005_15,6,0.0005,15,86.06,81.34,94.86,90,64.16,83.284
6_0.001_1,6,0.001,1,91.78,92.49,96.58,92.95,82.28,91.216
6_0.001_3,6,0.001,3,90.04,89.83,96.38,92.52,77.45,89.244
6_0.001_5,6,0.001,5,89.06,87.9,96.13,92.16,74.38,87.926
6_0.001_7,6,0.001,7,88.35,86.54,95.88,91.79,71.74,86.86
6_0.001_9,6,0.001,9,87.79,85.13,95.63,91.36,69.51,85.884
6_0.001_11,6,0.001,11,87.31,83.81,95.38,90.9,67.31,84.942
6_0.001_13,6,0.001,13,86.66,82.48,95.13,90.47,65.62,84.072
6_0.001_15,6,0.001,15,86.06,81.34,94.86,90,64.16,83.284
6_0.005_1,6,0.005,1,91.78,92.49,96.58,92.95,82.11,91.182
6_0.005_3,6,0.005,3,90.04,89.83,96.38,92.52,77.1,89.174
6_0.005_5,6,0.005,5,89.06,87.9,96.13,92.16,74.18,87.886
6_0.005_7,6,0.005,7,88.35,86.54,95.88,91.79,71.85,86.882
6_0.005_9,6,0.005,9,87.79,85.13,95.63,91.36,69.9,85.962
6_0.005_11,6,0.005,11,87.31,83.81,95.38,90.9,68.03,85.086
6_0.005_13,6,0.005,13,86.66,82.48,95.13,90.47,66.36,84.22
6_0.005_15,6,0.005,15,86.06,81.34,94.86,90,64.88,83.428
6_0.01_1,6,0.01,1,91.76,92.45,96.58,92.95,82.11,91.17
6_0.01_3,6,0.01,3,90.14,89.78,96.38,92.52,77.1,89.184
6_0.01_5,6,0.01,5,89.38,87.9,96.13,92.16,74.18,87.95
6_0.01_7,6,0.01,7,88.94,86.54,95.88,91.79,71.85,87
6_0.01_9,6,0.01,9,88.53,85.13,95.63,91.36,69.9,86.11
6_0.01_11,6,0.01,11,88.24,83.81,95.38,90.9,68.03,85.272
6_0.01_13,6,0.01,13,87.7,82.61,95.13,90.47,66.36,84.454
6_0.01_15,6,0.01,15,87.33,81.4,94.86,90,64.88,83.694
6_0.05_1,6,0.05,1,91.64,92.39,96.55,92.91,81.98,91.094
6_0.05_3,6,0.05,3,90.11,89.58,96.33,92.1,77.02,89.028
6_0.05_5,6,0.05,5,89.16,87.62,96.09,91.51,74.08,87.692
6_0.05_7,6,0.05,7,88.48,86.1,95.84,90.84,71.74,86.6
6_0.05_9,6,0.05,9,87.93,84.66,95.59,90.28,69.68,85.628
6_0.05_11,6,0.05,11,87.47,83.32,95.34,89.62,67.69,84.688
6_0.05_13,6,0.05,13,86.81,81.96,95.08,88.94,65.69,83.696
6_0.05_15,6,0.05,15,86.42,80.88,94.82,88.26,64.11,82.898
6_0.1_1,6,0.1,1,91.73,92.34,96.55,92.85,81.91,91.076
6_0.1_3,6,0.1,3,89.58,89.29,96.33,91.24,75.78,88.444
6_0.1_5,6,0.1,5,88.47,87.13,96.09,90.35,72.53,86.914
