ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean
14_0.005_7,14,0.005,7,89.98,88.23,96.39,91.6,71.83,87.606
14_0.005_9,14,0.005,9,89.44,87.24,96.3,91.08,69.89,86.79
14_0.005_11,14,0.005,11,89.06,86.31,96.21,90.54,68.09,86.042
14_0.005_13,14,0.005,13,88.58,85.44,96.12,90.02,66.53,85.338
14_0.005_15,14,0.005,15,88.11,84.7,96.03,89.47,65.02,84.666
14_0.01_1,14,0.01,1,92.01,92.6,96.62,93.12,82.4,91.35
14_0.01_3,14,0.01,3,91.1,90.66,96.56,92.47,77.35,89.628
14_0.01_5,14,0.01,5,90.51,89.23,96.47,92.05,74.14,88.48
14_0.01_7,14,0.01,7,89.98,88.23,96.39,91.6,71.83,87.606
14_0.01_9,14,0.01,9,89.44,87.24,96.3,91.08,69.89,86.79
14_0.01_11,14,0.01,11,89.06,86.31,96.21,90.54,68.09,86.042
14_0.01_13,14,0.01,13,88.58,85.44,96.12,90.02,66.53,85.338
14_0.01_15,14,0.01,15,88.11,84.7,96.03,89.47,65.02,84.666
14_0.05_1,14,0.05,1,91.93,92.58,96.62,93.02,82.31,91.292
14_0.05_3,14,0.05,3,90.47,89.85,96.56,92.47,77.43,89.356
14_0.05_5,14,0.05,5,89.63,87.91,96.47,92.05,74.52,88.116
14_0.05_7,14,0.05,7,88.97,86.43,96.39,91.6,72.22,87.122
14_0.05_9,14,0.05,9,88.33,84.94,96.3,91.08,70.5,86.23
14_0.05_11,14,0.05,11,87.91,83.69,96.21,90.54,68.93,85.456
14_0.05_13,14,0.05,13,87.41,82.63,96.12,90.02,67.51,84.738
14_0.05_15,14,0.05,15,86.9,81.56,96.03,89.47,66.49,84.09
14_0.1_1,14,0.1,1,91.81,92.45,96.58,93.12,82.05,91.202
14_0.1_3,14,0.1,3,89.92,89.71,96.45,92.46,76.73,89.054
14_0.1_5,14,0.1,5,88.57,87.76,96.29,91.99,73.62,87.646
14_0.1_7,14,0.1,7,87.86,86.14,96.13,91.41,71.18,86.544
14_0.1_9,14,0.1,9,87.41,84.74,95.97,90.92,69.3,85.668
14_0.1_11,14,0.1,11,87.03,83.41,95.8,90.37,67.53,84.828
14_0.1_13,14,0.1,13,86.77,82.11,95.63,89.8,66.07,84.076
14_0.1_15,14,0.1,15,86.42,80.84,95.46,89.21,64.72,83.33
14_0.5_1,14,0.5,1,88.74,89.62,95.14,88.91,77.54,87.99
14_0.5_3,14,0.5,3,84.02,81.56,91.88,82.71,66.37,81.308
14_0.5_5,14,0.5,5,81.76,77.52,89.56,79.46,61.81,78.022
14_0.5_7,14,0.5,7,79.93,74.59,87.6,76.76,58.41,75.458
14_0.5_9,14,0.5,9,78.32,72.75,85.9,74.29,56.76,73.604
14_0.5_11,14,0.5,11,77.02,71.34,84.06,72.28,54.08,71.756
14_0.5_13,14,0.5,13,75.92,70.18,82.69,70.61,52.83,70.446
14_0.5_15,14,0.5,15,74.79,69.04,81.35,69.01,51.78,69.194
14_1_1,14,1,1,0,0,0,0,0,0
14_1_3,14,1,3,0,0,0,0,0,0
14_1_5,14,1,5,0,0,0,0,0,0
14_1_7,14,1,7,0,0,0,0,0,0
14_1_9,14,1,9,0,0,0,0,0,0
14_1_11,14,1,11,0,0,0,0,0,0
14_1_13,14,1,13,0,0,0,0,0,0
14_1_15,14,1,15,0,0,0,0,0,0
14_5_1,14,5,1,0,0,0,0,0,0
14_5_3,14,5,3,0,0,0,0,0,0
14_5_5,14,5,5,0,0,0,0,0,0
14_5_7,14,5,7,0,0,0,0,0,0
14_5_9,14,5,9,0,0,0,0,0,0
14_5_11,14,5,11,0,0,0,0,0,0
14_5_13,14,5,13,0,0,0,0,0,0
14_5_15,14,5,15,0,0,0,0,0,0
16_0.0001_1,16,0.0001,1,92.01,92.6,96.69,93.12,82.43,91.37
16_0.0001_3,16,0.0001,3,91.05,90.6,96.61,92.47,77.17,89.58
16_0.0001_5,16,0.0001,5,90.51,89.09,96.49,92.05,74.09,88.446
16_0.0001_7,16,0.0001,7,89.98,87.93,96.39,91.6,71.68,87.516
16_0.0001_9,16,0.0001,9,89.44,86.84,96.3,91.08,69.67,86.666
16_0.0001_11,16,0.0001,11,89.06,85.84,96.21,90.54,67.82,85.894
16_0.0001_13,16,0.0001,13,88.58,84.89,96.12,90.02,66.3,85.182
16_0.0001_15,16,0.0001,15,88.11,84.07,96.03,89.47,64.84,84.504
16_0.0005_1,16,0.0005,1,92.01,92.6,96.69,93.12,82.43,91.37
16_0.0005_3,16,0.0005,3,91.05,90.6,96.61,92.47,77.17,89.58
16_0.0005_5,16,0.0005,5,90.51,89.09,96.49,92.05,74.09,88.446
16_0.0005_7,16,0.0005,7,89.98,87.93,96.39,91.6,71.68,87.516
16_0.0005_9,16,0.0005,9,89.44,86.84,96.3,91.08,69.67,86.666
16_0.0005_11,16,0.0005,11,89.06,85.84,96.21,90.54,67.82,85.894
16_0.0005_13,16,0.0005,13,88.58,84.89,96.12,90.02,66.3,85.182
16_0.0005_15,16,0.0005,15,88.11,84.07,96.03,89.47,64.84,84.504
16_0.001_1,16,0.001,1,92.01,92.6,96.69,93.12,82.43,91.37
16_0.001_3,16,0.001,3,91.05,90.6,96.61,92.47,77.17,89.58
16_0.001_5,16,0.001,5,90.51,89.09,96.49,92.05,74.09,88.446
16_0.001_7,16,0.001,7,89.98,87.93,96.39,91.6,71.68,87.516
16_0.001_9,16,0.001,9,89.44,86.84,96.3,91.08,69.67,86.666
16_0.001_11,16,0.001,11,89.06,85.84,96.21,90.54,67.82,85.894
16_0.001_13,16,0.001,13,88.58,84.89,96.12,90.02,66.3,85.182
16_0.001_15,16,0.001,15,88.11,84.07,96.03,89.47,64.84,84.504
16_0.005_1,16,0.005,1,92.01,92.6,96.69,93.12,82.39,91.362
16_0.005_3,16,0.005,3,91.05,90.6,96.61,92.47,77.83,89.712
16_0.005_5,16,0.005,5,90.51,89.09,96.49,92.05,75.03,88.634
16_0.005_7,16,0.005,7,89.98,87.93,96.39,91.6,72.78,87.736
16_0.005_9,16,0.005,9,89.44,86.84,96.3,91.08,70.92,86.916
16_0.005_11,16,0.005,11,89.06,85.84,96.21,90.54,69.17,86.164
16_0.005_13,16,0.005,13,88.58,84.89,96.12,90.02,67.65,85.452
16_0.005_15,16,0.005,15,88.11,84.07,96.03,89.47,66.33,84.802
16_0.01_1,16,0.01,1,92.01,92.6,96.69,93.12,82.4,91.364
16_0.01_3,16,0.01,3,91.05,90.6,96.61,92.47,77.95,89.736
16_0.01_5,16,0.01,5,90.51,89.09,96.49,92.05,74.72,88.572
16_0.01_7,16,0.01,7,89.98,87.93,96.39,91.6,72.49,87.678
16_0.01_9,16,0.01,9,89.44,86.84,96.3,91.08,70.62,86.856
16_0.01_11,16,0.01,11,89.06,85.84,96.21,90.54,68.92,86.114
16_0.01_13,16,0.01,13,88.58,84.89,96.12,90.02,67.36,85.394
16_0.01_15,16,0.01,15,88.11,84.07,96.03,89.47,65.99,84.734
16_0.05_1,16,0.05,1,91.96,92.58,96.62,93.02,82.39,91.314
16_0.05_3,16,0.05,3,90.99,90.36,96.56,92.47,77.37,89.55
16_0.05_5,16,0.05,5,90.24,88.65,96.47,92.05,74.16,88.314
16_0.05_7,16,0.05,7,89.58,87.3,96.39,91.6,71.78,87.33
16_0.05_9,16,0.05,9,88.9,85.95,96.3,91.08,69.97,86.44
16_0.05_11,16,0.05,11,88.42,84.85,96.21,90.54,68.41,85.686
16_0.05_13,16,0.05,13,87.84,83.95,96.12,90.02,66.98,84.982
16_0.05_15,16,0.05,15,87.25,83.06,96.03,89.47,65.97,84.356
16_0.1_1,16,0.1,1,91.87,92.45,96.58,93.2,82.29,91.278
16_0.1_3,16,0.1,3,89.98,89.71,96.45,92.55,77.24,89.186
16_0.1_5,16,0.1,5,88.65,87.76,96.29,92.09,74.17,87.792
16_0.1_7,16,0.1,7,87.99,86.14,96.13,91.7,71.92,86.776
16_0.1_9,16,0.1,9,87.4,84.74,95.97,91.25,70.09,85.89
16_0.1_11,16,0.1,11,87.03,83.41,95.8,90.78,68.38,85.08
16_0.1_13,16,0.1,13,86.77,82.11,95.63,90.3,66.93,84.348
16_0.1_15,16,0.1,15,86.47,80.84,95.46,89.8,65.41,83.596
16_0.5_1,16,0.5,1,89.18,89.62,95.39,89.43,77.93,88.31
16_0.5_3,16,0.5,3,84.17,81.85,92.12,83.16,67.25,81.71
16_0.5_5,16,0.5,5,81.89,77.94,89.91,79.97,62.19,78.38
16_0.5_7,16,0.5,7,80.09,75.28,88.04,77.31,59.03,75.95
16_0.5_9,16,0.5,9,78.48,73.52,86.42,74.86,57.14,74.084
16_0.5_11,16,0.5,11,77.18,72.19,84.65,72.68,54.81,72.302
16_0.5_13,16,0.5,13,76.08,71.08,83.36,71.12,53.48,71.024
16_0.5_15,16,0.5,15,74.65,70.02,82.11,69.71,52.13,69.724
16_1_1,16,1,1,0,0,0,0,0,0
16_1_3,16,1,3,0,0,0,0,0,0
16_1_5,16,1,5,0,0,0,0,0,0
16_1_7,16,1,7,0,0,0,0,0,0
16_1_9,16,1,9,0,0,0,0,0,0
16_1_11,16,1,11,0,0,0,0,0,0
16_1_13,16,1,13,0,0,0,0,0,0
16_1_15,16,1,15,0,0,0,0,0,0
16_5_1,16,5,1,0,0,0,0,0,0
16_5_3,16,5,3,0,0,0,0,0,0
16_5_5,16,5,5,0,0,0,0,0,0
16_5_7,16,5,7,0,0,0,0,0,0
16_5_9,16,5,9,0,0,0,0,0,0
16_5_11,16,5,11,0,0,0,0,0,0
16_5_13,16,5,13,0,0,0,0,0,0
16_5_15,16,5,15,0,0,0,0,0,0
18_0.0001_1,18,0.0001,1,92.02,92.62,96.61,93.14,82.46,91.37
18_0.0001_3,18,0.0001,3,90.93,90.21,96.61,92.47,77.45,89.534
18_0.0001_5,18,0.0001,5,90.34,88.45,96.61,92.05,74.04,88.298
18_0.0001_7,18,0.0001,7,89.76,87.09,96.61,91.6,71.69,87.35
18_0.0001_9,18,0.0001,9,89.16,85.81,96.61,91.08,69.62,86.456
18_0.0001_11,18,0.0001,11,88.72,84.83,96.61,90.54,67.83,85.706
18_0.0001_13,18,0.0001,13,88.16,83.87,96.61,90.02,66.25,84.982
18_0.0001_15,18,0.0001,15,87.59,82.95,96.61,89.47,64.73,84.27
18_0.0005_1,18,0.0005,1,92.02,92.62,96.61,93.14,82.46,91.37
18_0.0005_3,18,0.0005,3,90.93,90.21,96.61,92.47,77.45,89.534
18_0.0005_5,18,0.0005,5,90.34,88.45,96.61,92.05,74.04,88.298
18_0.0005_7,18,0.0005,7,89.76,87.09,96.61,91.6,71.69,87.35
18_0.0005_9,18,0.0005,9,89.16,85.81,96.61,91.08,69.62,86.456
18_0.0005_11,18,0.0005,11,88.72,84.83,96.61,90.54,67.83,85.706
18_0.0005_13,18,0.0005,13,88.16,83.87,96.61,90.02,66.25,84.982
18_0.0005_15,18,0.0005,15,87.59,82.95,96.61,89.47,64.73,84.27
18_0.001_1,18,0.001,1,92.02,92.6,96.61,93.14,82.46,91.366
18_0.001_3,18,0.001,3,90.93,90.23,96.61,92.47,77.45,89.538
18_0.001_5,18,0.001,5,90.34,88.48,96.61,92.05,74.04,88.304
18_0.001_7,18,0.001,7,89.76,87.13,96.61,91.6,71.69,87.358
18_0.001_9,18,0.001,9,89.16,85.81,96.61,91.08,69.62,86.456
18_0.001_11,18,0.001,11,88.72,84.85,96.61,90.54,67.83,85.71
18_0.001_13,18,0.001,13,88.16,83.92,96.61,90.02,66.25,84.992
18_0.001_15,18,0.001,15,87.59,83.12,96.61,89.47,64.73,84.304
18_0.005_1,18,0.005,1,92.01,92.6,96.61,93.14,82.46,91.364
18_0.005_3,18,0.005,3,91.05,90.23,96.61,92.47,77.45,89.562
18_0.005_5,18,0.005,5,90.51,88.48,96.61,92.05,74.04,88.338
18_0.005_7,18,0.005,7,89.98,87.13,96.61,91.6,71.69,87.402
18_0.005_9,18,0.005,9,89.44,85.81,96.61,91.08,69.62,86.512
18_0.005_11,18,0.005,11,89.06,84.85,96.61,90.54,67.83,85.778
18_0.005_13,18,0.005,13,88.58,83.92,96.61,90.02,66.25,85.076
18_0.005_15,18,0.005,15,88.11,83.12,96.61,89.47,64.73,84.408
18_0.01_1,18,0.01,1,92.01,92.6,96.61,93.14,82.46,91.364
18_0.01_3,18,0.01,3,91.05,90.23,96.61,92.47,77.45,89.562
18_0.01_5,18,0.01,5,90.51,88.48,96.61,92.05,74.04,88.338
18_0.01_7,18,0.01,7,89.98,87.13,96.61,91.6,71.69,87.402
18_0.01_9,18,0.01,9,89.44,85.81,96.61,91.08,69.62,86.512
18_0.01_11,18,0.01,11,89.06,84.85,96.61,90.54,67.83,85.778
18_0.01_13,18,0.01,13,88.58,83.92,96.61,90.02,66.25,85.076
18_0.01_15,18,0.01,15,88.11,83.12,96.61,89.47,64.73,84.408
18_0.05_1,18,0.05,1,92.04,92.58,96.61,93.02,82.36,91.322
18_0.05_3,18,0.05,3,91.17,89.98,96.61,92.47,77.8,89.606
18_0.05_5,18,0.05,5,90.46,88.04,96.61,92.05,74.83,88.398
18_0.05_7,18,0.05,7,89.89,86.49,96.61,91.6,72.63,87.444
18_0.05_9,18,0.05,9,89.31,84.92,96.61,91.08,70.6,86.504
18_0.05_11,18,0.05,11,88.87,83.86,96.61,90.54,68.93,85.762
18_0.05_13,18,0.05,13,88.33,82.98,96.61,90.02,67.45,85.078
18_0.05_15,18,0.05,15,87.82,82.1,96.61,89.47,66.12,84.424
18_0.1_1,18,0.1,1,91.89,92.47,96.61,93.08,82.26,91.262
18_0.1_3,18,0.1,3,89.97,89.45,96.61,92.44,77.27,89.148
18_0.1_5,18,0.1,5,88.9,87.27,96.61,91.99,74.24,87.802
18_0.1_7,18,0.1,7,88.11,85.55,96.61,91.5,72.08,86.77
18_0.1_9,18,0.1,9,87.35,83.83,96.61,90.96,70.07,85.764
18_0.1_11,18,0.1,11,86.77,82.55,96.61,90.38,68.2,84.902
18_0.1_13,18,0.1,13,86.32,81.45,96.61,89.83,66.65,84.172
18_0.1_15,18,0.1,15,85.92,80.35,96.61,89.24,65.04,83.432
18_0.5_1,18,0.5,1,89.68,89.72,95.24,89.78,78.02,88.488
18_0.5_3,18,0.5,3,84.53,82.31,92.31,84.5,67.53,82.236
18_0.5_5,18,0.5,5,82.21,78.33,90.31,81.48,62.65,78.996
18_0.5_7,18,0.5,7,80.57,75.72,88.65,78.84,59.65,76.686
18_0.5_9,18,0.5,9,79.32,74.04,87.2,76.29,57.69,74.908
18_0.5_11,18,0.5,11,78.16,72.69,85.56,74.41,55.51,73.266
18_0.5_13,18,0.5,13,77.13,71.51,84.32,72.74,53.99,71.938
18_0.5_15,18,0.5,15,76.07,70.45,83.07,71.18,52.2,70.594
18_1_1,18,1,1,0,0,0,0,0,0
18_1_3,18,1,3,0,0,0,0,0,0
18_1_5,18,1,5,0,0,0,0,0,0
18_1_7,18,1,7,0,0,0,0,0,0
18_1_9,18,1,9,0,0,0,0,0,0
18_1_11,18,1,11,0,0,0,0,0,0
18_1_13,18,1,13,0,0,0,0,0,0
18_1_15,18,1,15,0,0,0,0,0,0
18_5_1,18,5,1,0,0,0,0,0,0
18_5_3,18,5,3,0,0,0,0,0,0
18_5_5,18,5,5,0,0,0,0,0,0
18_5_7,18,5,7,0,0,0,0,0,0
18_5_9,18,5,9,0,0,0,0,0,0
18_5_11,18,5,11,0,0,0,0,0,0
18_5_13,18,5,13,0,0,0,0,0,0
18_5_15,18,5,15,0,0,0,0,0,0
20_0.0001_1,20,0.0001,1,92.02,92.55,96.61,93.31,82.42,91.382
20_0.0001_3,20,0.0001,3,90.93,90.51,96.61,92.53,77.49,89.614
20_0.0001_5,20,0.0001,5,90.34,89.06,96.61,92.11,74.27,88.478
20_0.0001_7,20,0.0001,7,89.76,87.98,96.61,91.68,72.03,87.612
20_0.0001_9,20,0.0001,9,89.16,86.88,96.61,91.2,69.98,86.766
20_0.0001_11,20,0.0001,11,88.72,85.91,96.61,90.66,68.11,86.002
20_0.0001_13,20,0.0001,13,88.16,84.95,96.61,90.13,66.41,85.252
20_0.0001_15,20,0.0001,15,87.59,83.98,96.61,89.58,64.86,84.524
20_0.0005_1,20,0.0005,1,92.02,92.55,96.61,93.31,82.42,91.382
20_0.0005_3,20,0.0005,3,90.93,90.51,96.61,92.53,77.49,89.614
20_0.0005_5,20,0.0005,5,90.34,89.06,96.61,92.11,74.27,88.478
20_0.0005_7,20,0.0005,7,89.76,87.98,96.61,91.68,72.03,87.612
20_0.0005_9,20,0.0005,9,89.16,86.88,96.61,91.2,69.98,86.766
20_0.0005_11,20,0.0005,11,88.72,85.91,96.61,90.66,68.11,86.002
20_0.0005_13,20,0.0005,13,88.16,84.95,96.61,90.13,66.41,85.252
20_0.0005_15,20,0.0005,15,87.59,83.98,96.61,89.58,64.86,84.524
20_0.001_1,20,0.001,1,92.02,92.55,96.61,93.17,82.42,91.354
20_0.001_3,20,0.001,3,90.93,90.51,96.61,92.53,77.49,89.614
20_0.001_5,20,0.001,5,90.34,89.06,96.61,92.11,74.27,88.478
20_0.001_7,20,0.001,7,89.76,87.98,96.61,91.68,72.03,87.612
20_0.001_9,20,0.001,9,89.16,86.88,96.61,91.2,69.98,86.766
20_0.001_11,20,0.001,11,88.72,85.91,96.61,90.66,68.11,86.002
20_0.001_13,20,0.001,13,88.16,84.95,96.61,90.13,66.41,85.252
20_0.001_15,20,0.001,15,87.59,83.98,96.61,89.58,64.86,84.524
20_0.005_1,20,0.005,1,92.02,92.55,96.61,93.14,82.42,91.348
20_0.005_3,20,0.005,3,90.93,90.51,96.61,92.47,77.49,89.602
20_0.005_5,20,0.005,5,90.34,89.06,96.61,92.05,74.27,88.466
20_0.005_7,20,0.005,7,89.76,87.98,96.61,91.6,72.03,87.596
20_0.005_9,20,0.005,9,89.16,86.88,96.61,91.08,69.98,86.742
20_0.005_11,20,0.005,11,88.72,85.91,96.61,90.54,68.11,85.978
20_0.005_13,20,0.005,13,88.16,84.95,96.61,90.02,66.41,85.23
20_0.005_15,20,0.005,15,87.59,83.98,96.61,89.47,64.86,84.502
20_0.01_1,20,0.01,1,92.02,92.55,96.61,93.14,82.42,91.348
20_0.01_3,20,0.01,3,90.93,90.51,96.61,92.47,77.49,89.602
20_0.01_5,20,0.01,5,90.34,89.06,96.61,92.05,74.27,88.466
20_0.01_7,20,0.01,7,89.76,87.98,96.61,91.6,72.03,87.596
20_0.01_9,20,0.01,9,89.16,86.88,96.61,91.08,69.98,86.742
20_0.01_11,20,0.01,11,88.72,85.91,96.61,90.54,68.11,85.978
20_0.01_13,20,0.01,13,88.16,84.95,96.61,90.02,66.41,85.23
20_0.01_15,20,0.01,15,87.59,83.98,96.61,89.47,64.86,84.502
20_0.05_1,20,0.05,1,92.02,92.52,96.61,93.14,82.36,91.33
20_0.05_3,20,0.05,3,90.89,90.52,96.61,92.44,77.8,89.652
20_0.05_5,20,0.05,5,90.29,89.09,96.61,92.02,74.83,88.568
20_0.05_7,20,0.05,7,89.7,88.02,96.61,91.57,72.63,87.706
20_0.05_9,20,0.05,9,89.11,86.88,96.61,91.06,70.57,86.846
20_0.05_11,20,0.05,11,88.66,85.89,96.61,90.51,68.9,86.114
20_0.05_13,20,0.05,13,88.11,84.92,96.61,90,67.44,85.416
20_0.05_15,20,0.05,15,87.55,84,96.61,89.44,66.11,84.742
20_0.1_1,20,0.1,1,91.97,92.41,96.61,93.04,82.32,91.27
20_0.1_3,20,0.1,3,89.92,89.15,96.61,92.44,77.53,89.13
20_0.1_5,20,0.1,5,88.74,87.02,96.61,92.02,74.87,87.852
20_0.1_7,20,0.1,7,87.97,85.53,96.61,91.57,72.78,86.892
20_0.1_9,20,0.1,9,87.26,84.01,96.61,91.06,70.71,85.93
20_0.1_11,20,0.1,11,86.81,82.72,96.61,90.51,69.13,85.156
20_0.1_13,20,0.1,13,86.34,81.5,96.61,90,67.56,84.402
20_0.1_15,20,0.1,15,85.86,80.52,96.61,89.44,66.34,83.754
20_0.5_1,20,0.5,1,89.68,89.8,95.24,89.95,78.12,88.558
20_0.5_3,20,0.5,3,84.9,82.52,92.31,85,67.49,82.444
20_0.5_5,20,0.5,5,82.73,78.55,90.31,82.06,62.58,79.246
20_0.5_7,20,0.5,7,81.16,75.72,88.65,79.4,59.72,76.93
20_0.5_9,20,0.5,9,79.88,74.04,87.2,76.81,57.76,75.138
20_0.5_11,20,0.5,11,78.75,72.69,85.56,74.98,55.77,73.55
20_0.5_13,20,0.5,13,77.8,71.51,84.32,73.39,54.13,72.23
20_0.5_15,20,0.5,15,76.82,70.45,83.07,71.91,52.46,70.942
20_1_1,20,1,1,0,0,0,0,0,0
20_1_3,20,1,3,0,0,0,0,0,0
20_1_5,20,1,5,0,0,0,0,0,0
20_1_7,20,1,7,0,0,0,0,0,0
20_1_9,20,1,9,0,0,0,0,0,0
20_1_11,20,1,11,0,0,0,0,0,0
20_1_13,20,1,13,0,0,0,0,0,0
20_1_15,20,1,15,0,0,0,0,0,0
20_5_1,20,5,1,0,0,0,0,0,0
20_5_3,20,5,3,0,0,0,0,0,0
20_5_5,20,5,5,0,0,0,0,0,0
20_5_7,20,5,7,0,0,0,0,0,0
20_5_9,20,5,9,0,0,0,0,0,0
20_5_11,20,5,11,0,0,0,0,0,0
20_5_13,20,5,13,0,0,0,0,0,0
20_5_15,20,5,15,0,0,0,0,0,0